Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,PPAGE,PPETHM,PPEDUCAT,PPGENDER,PPHHHEAD,PPINCIMP,PPMSACAT,PPREG4,LGBT,MARRIED,NUM_CHILD_HH,Q16
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,56,"(1) White, Non-Hispanic",(1) Less than high school,(2) Female,(1) Yes,"(17) $125,000 to $149,999",(1) Metro,(4) West,(0) No,(0) No,(1) 1,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,53,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(1) Northeast,(0) No,(1) Yes,(2) 2,"(3) No, have not moved"
(2) Most of the time ,(4) A little of the time,(4) A little of the time,(4) A little of the time,(4) A little of the time,(4) A little of the time,51,"(1) White, Non-Hispanic",(2) High school,(2) Female,(1) Yes,"(10) $35,000 to $39,999",(0) Non-Metro,(2) Midwest,(0) No,(0) No,(1) 1,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,55,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(21) $250,000 or more",(1) Metro,(3) South,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,61,"(1) White, Non-Hispanic",(2) High school,(2) Female,(0) No,"(12) $50,000 to $59,999",(1) Metro,(1) Northeast,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,57,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(1) Northeast,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(4) A little of the time,(3) Some of the time ,(4) A little of the time,(3) Some of the time ,(5) None of the time,42,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(20) $200,000 to $249,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(4) A little of the time,(4) A little of the time,(4) A little of the time,(3) Some of the time ,(4) A little of the time,62,"(5) 2+ Races, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(03) $7,500 to $9,999",(0) Non-Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,52,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(4) West,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,(1) All of the time,(3) Some of the time ,63,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(09) $30,000 to $34,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
